name;score
Random Search,56.0
Random Search,55.0
Random Search,23.0
Random Search,52.0
Random Search,32.0
Random Search,57.0
Random Search,57.0
NMCS,62.0
NMCS,62.0
NMCS,62.0
Random Search,26.0
Random Search,48.0
NRPA,55.0
NRPA,55.0
Random Search,54.0
Random Search,52.0
NRPA,55.0
NRPA,55.0
Random Search,26.0
Random Search,26.0
NRPA,55.0
Random Search,62.0
Random Search,57.0
,57.0
Random Search,22.0
Random Search,55.0
Random Search,21.0
Random Search,56.0
,56.0
,56.0
Random Search,54.0
,54.0
Random Search,54.0
,54.0
Random Search,49.0
,49.0
Random Search,49.0
Random Search,34.0
Random Search,34.0
Random Search,51.0
Random Search,34.0
Random Search,54.0
Random Search,46.0
Random Search,57.0
Random Search,21.0
Random Search,22.0
Random Search,22.0
Random Search,22.0
Random Search,51.0
Random Search,53.0
Random Search,55.0
Random Search,56.0
Random Search,57.0
Random Search,53.0
Random Search,54.0
Random Search,53.0
Random Search,54.0
Random Search,52.0
Random Search,25.0
Random Search,56.0
Random Search,20.0
Random Search,61.0
Random Search,61.0
Random Search,32.0
,32.0
Random Search,53.0
Random Search,52.0
Random Search,53.0
Random Search,53.0
Random Search,54.0
Random Search,50.0
Random Search,26.0
Random Search,53.0
Random Search,21.0
